mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__max_features,param_rf__max_samples,param_rf__min_samples_leaf,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
54.25569701194763,7.759743102184891,0.2946146488189697,0.059704662939103065,12,0.3810248335026123,0.67659968568448,2,656,"{'rf__max_depth': 12, 'rf__max_features': 0.3810248335026123, 'rf__max_samples': 0.67659968568448, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 656}",-24044.722718723624,-27361.206719944734,-24896.59485586796,-30530.0016463698,-26995.756341283184,-26765.656456437864,2257.201473244653,1
31.375631284713744,7.570901563920641,0.25464396476745604,0.06661754722467465,20,0.29485483647107985,0.9687254848335419,7,688,"{'rf__max_depth': 20, 'rf__max_features': 0.29485483647107985, 'rf__max_samples': 0.9687254848335419, 'rf__min_samples_leaf': 7, 'rf__n_estimators': 688}",-24920.7650980214,-28590.183270446258,-26591.91663706994,-32211.16248460602,-28903.863522453285,-28243.57820251938,2452.2197971022165,3
2.0123453617095945,0.07010172364481555,0.12476983070373535,0.01734482701351849,15,0.13472284399867646,0.9929633846987841,54,189,"{'rf__max_depth': 15, 'rf__max_features': 0.13472284399867646, 'rf__max_samples': 0.9929633846987841, 'rf__min_samples_leaf': 54, 'rf__n_estimators': 189}",-34688.84430031836,-39112.788068052236,-31007.30514472007,-42047.31891512731,-38146.909396311654,-37000.63316490593,3808.11063670777,17
11.888933515548706,0.32328488086295337,0.32291479110717775,0.043910172716230156,5,0.3088534378559399,0.6338308692511159,2,527,"{'rf__max_depth': 5, 'rf__max_features': 0.3088534378559399, 'rf__max_samples': 0.6338308692511159, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 527}",-28191.940511170083,-31943.64308652941,-28066.04234554149,-33461.41077824737,-29963.015132538403,-30325.210370805355,2109.072938615049,8
4.766647100448608,0.5293443583994266,0.11160945892333984,0.030084244201519155,7,0.23186658965583856,0.8112392169018147,4,135,"{'rf__max_depth': 7, 'rf__max_features': 0.23186658965583856, 'rf__max_samples': 0.8112392169018147, 'rf__min_samples_leaf': 4, 'rf__n_estimators': 135}",-25379.038349672213,-29546.081427935987,-27160.94085189604,-32769.137314299645,-28780.53566198584,-28727.146721157944,2476.8537655718646,5
6.348909473419189,0.512628557038046,0.10696372985839844,0.020239354281223792,23,0.47419351907157453,0.7820323885172648,19,137,"{'rf__max_depth': 23, 'rf__max_features': 0.47419351907157453, 'rf__max_samples': 0.7820323885172648, 'rf__min_samples_leaf': 19, 'rf__n_estimators': 137}",-28701.62674303685,-31672.978772953797,-27044.435072581018,-34885.026235596204,-31036.71427381933,-30668.15621959744,2680.5256674171396,11
23.669204187393188,1.2993796598783662,0.17532105445861818,0.02009528508285113,25,0.29403128419658925,0.994162694925493,4,268,"{'rf__max_depth': 25, 'rf__max_features': 0.29403128419658925, 'rf__max_samples': 0.994162694925493, 'rf__min_samples_leaf': 4, 'rf__n_estimators': 268}",-24189.89221699496,-27708.364552871702,-25212.875794861648,-30635.2579490233,-27874.625003027344,-27124.20310335579,2258.1070042805172,2
2.9440887451171873,0.1811518154734689,0.08247861862182618,0.01288680983428865,23,0.7198795906497619,0.6388445852715073,62,115,"{'rf__max_depth': 23, 'rf__max_features': 0.7198795906497619, 'rf__max_samples': 0.6388445852715073, 'rf__min_samples_leaf': 62, 'rf__n_estimators': 115}",-35858.242759550376,-40373.71049192763,-31659.283130496897,-42228.42278716604,-38459.797707651305,-37715.89137535845,3690.8996367204245,20
21.107048797607423,1.2391230167668692,0.1798619270324707,0.0424627700820656,19,0.694422877669984,0.7885362472546746,18,367,"{'rf__max_depth': 19, 'rf__max_features': 0.694422877669984, 'rf__max_samples': 0.7885362472546746, 'rf__min_samples_leaf': 18, 'rf__n_estimators': 367}",-29399.013174267682,-31050.01522738803,-27098.764122721615,-34561.58477920833,-30970.623627005556,-30616.00018611824,2438.5967905652547,10
2.653740167617798,0.2523316246147606,0.30818977355957033,0.04309399096444642,2,0.12451580303636,0.5798433457512931,83,713,"{'rf__max_depth': 2, 'rf__max_features': 0.12451580303636, 'rf__max_samples': 0.5798433457512931, 'rf__min_samples_leaf': 83, 'rf__n_estimators': 713}",-45645.1270784422,-49879.76082346844,-40619.43477222767,-51972.110753204564,-47952.13771609275,-47213.714228687124,3904.8789577817547,25
0.9069058418273925,0.05516235100929243,0.08853182792663575,0.018112048398027138,2,0.16300678072986954,0.813915617428362,22,197,"{'rf__max_depth': 2, 'rf__max_features': 0.16300678072986954, 'rf__max_samples': 0.813915617428362, 'rf__min_samples_leaf': 22, 'rf__n_estimators': 197}",-41585.73460823651,-46671.29616117563,-38488.45553133265,-47799.50146731529,-43756.34235160273,-43660.26602393256,3384.08355600026,23
4.604627180099487,0.5798837510703019,0.13856377601623535,0.10029588183165711,8,0.23808037658547082,0.9128568551986805,10,146,"{'rf__max_depth': 8, 'rf__max_features': 0.23808037658547082, 'rf__max_samples': 0.9128568551986805, 'rf__min_samples_leaf': 10, 'rf__n_estimators': 146}",-26322.340679295357,-30411.91583743295,-27160.65098828409,-33851.3037308884,-30237.21963826485,-29596.68617483313,2677.022933151888,6
