mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.21857037544250488,0.025714962754637048,59.37904438972473,1.6888728065912653,5,{'knn__n_neighbors': 5},0.849175949832804,0.8580254565965163,0.8650535482163898,0.8581900497438204,0.8567709512359715,0.8574431911251004,0.005052000613342906,4
0.2181210994720459,0.02717623091605795,58.264116287231445,2.6254369920686664,10,{'knn__n_neighbors': 10},0.8767409319957649,0.8816628925899154,0.8874580430554415,0.8849404475318846,0.8821909090416673,0.8825986448429347,0.0035903334492565437,3
0.2761805057525635,0.04154748592028375,60.02531023025513,1.458338047432058,15,{'knn__n_neighbors': 15},0.8842161865895455,0.8903991044007026,0.8940512735503361,0.8928158795952837,0.8901180543199287,0.8903200996911593,0.0033898494044855196,2
0.22523388862609864,0.029641996136257585,45.04509191513061,7.557704945532648,20,{'knn__n_neighbors': 20},0.888754810627905,0.8932502808201306,0.8971810983498477,0.8964112255285863,0.893286868430646,0.8937768567514232,0.0029754689629433277,1
